description,category,civic_issue
"Garbage thrown on the footpath, difficult to walk, animals walking by are eating plastic..",Waste/Garbage,1
Single use plastic is a huge problem in India it takes millions of years to decompose and it is very harmful to the cows and dogs who are accidentally eating it,Plastic,1
There is to much garbage dumped near my house and it stinks ,Waste/Garbage,1
"Plastic  cover 
",Plastic,1
Plastic  lunch  box ,Plastic,1
Plastic  bottles ,Plastic,1
Plastic  jug ,Plastic,1
"Plastic bottles 
",Plastic,1
"Use pape cover 
",Plastic,1
Plastic  bottles ,Plastic,1
"Bad odour ,it has been breeding place of mosquitos",Waste/Garbage,1
"I think clean this garbage
",Waste/Garbage,1
Please complete to the head of this area,Waste/Garbage,1
There is a huge garbage dump that's bordering on being a landfill. The stench from the dump is unbearable and wafts across the entire road ,Waste/Garbage,1
Pothole left open,Potholes,1
Sewer line left open,Sewage,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
"Pothole left open
",Potholes,1
"Pothole left open
",Potholes,1
"Pothole left open
",Potholes,1
"Pothole left open
",Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
"Pothole left open
",Potholes,1
Reduce  plastic  comb,Plastic,1
"Reduce  plastic  toothbrush 
",Plastic,1
"Reduce  plastic  bottles 
",Plastic,1
Use  steel  glass ,Plastic,1
Reduce plastic cover ,Plastic,1
The garbage has been piled up like this for the.past one.month due to the construction of adjacent apartment.,Waste/Garbage,1
Residents have started throwing garbage in vacant spot of open sewage lines garbage has not been cleared which is creating a lot of chaos .Kindly look into the matter.,Waste/Garbage,1
A place full of garbage,Waste/Garbage,1
Today morning I saw the  sewage was open.,Sewage,1
Please everyone save the water,Water,1
In my area the waste are very busy,Waste/Garbage,1
This is rainy season so if someone unknowingly touch the wire there is chance to die also.,Streetlights,1
Dumped at bn the freedom park,Waste/Garbage,1
Please clear it immediately because of this many diseases are causeing and many dangerous mosquitoes are coming inside Houses,Waste/Garbage,1
There is a garbage dump behind agara bus stop towards silk board. It contains a lot of plastic and food waste(put into plastic bags ) as well.,Waste/Garbage,1
"A heap of garbage is present on double church road . It contains various components of waste such as plastic sacks, pamphlets ,and sanitary waste. A green net is put to cover the view of the plastic.",Waste/Garbage,1
Cable wires hanging outside Sacred Hearts School,Streetlights,1
There is a garbage dump in the front of Bellary main road ,Waste/Garbage,1
It is not working from last one month.so please repair it,Streetlights,1
We are having Many yesterday also it was there,Sewage,1
Garbage thrown on the roadside,Waste/Garbage,1
There is a garbage pile on the street. It had been there for over 2 years.,Waste/Garbage,1
Garbage dumped and not cleared properly in Balaji Nagar. Not 1 but many of the dustbins in the area are overflowed and not cleaned. ,Waste/Garbage,1
There is a lot of garbage lying around in empyrean. This is causing a lot of stink and problems. Thus issue has to be resolved or soon our home will become a landfill,Waste/Garbage,1
"This place has been collecting a lot of garbage, so much that it’s because a garbage dump and even the road is horribly bad and BBMP is not doing anything ",Waste/Garbage,1
A lot of garbage is being thrown here and it’s smell is horrible and BBMP is completely neglecting it,Waste/Garbage,1
In my location their are many pot holes on the road and it is very dangerous to go on the road.Sometimes even the car get stuck and it takes much time to remove the car,Potholes,1
Once I have seen people are parking their bikes on the footpath .If their is a parking sloth their are not parking also their will be no space for the people to walk on the footpath.,Traffic/Parking,1
I have seen in washroom the water is leaking and dropping on the ground and it may cause people slipping on the water ,Water,1
People are throwing waste here and there,Waste/Garbage,1
The floodlights remain switched on for the whole night!!!,Streetlights,1
These potholes get filled with water during rains which makes it difficult to walk ,Potholes,1
Untreated garbage lying next to the road ,Waste/Garbage,1
The electric mains are next to the houses and and trees had to be cleared in order to build it,Streetlights,1
"This is a pile of garbage consisting of plastic waste found alongside the footpath. It is very unhygienic and has a foul smell. It may look small, but this can cause major buildup in the future.",Waste/Garbage,1
"Reduce plastic
",Plastic,1
"Reduce plastic
",Plastic,1
Reduce plastic comb,Plastic,1
"Reduce plastic cover
",Plastic,1
Reduce plastic tub,Plastic,1
"Reduce plastic dust bin
",Plastic,1
"Reduce plastic box
",Plastic,1
Dumping of garbage in public footpath. Residential area and Jain temple nearby ,Waste/Garbage,1
The wire in the corner of golden flat signal is lying on the road dangerously. Request the concern authorities to take action before unpleasant happenings.,Streetlights,1
"Bzhzh
Sisjsjsjsjsjsjisid of a good time they are not filtered the form in which you are not the intended recipients of this is an hour ago the day so that you are a bowl of the day s technical details",Plastic,1
"The people in this road are not getting lights properly,in night they can't see the road clearly",Streetlights,1
"In night time because of potholes the people who goes from here with there vehicle , sometimes it may accidents

",Potholes,1
Sir so much garbage and smelly so please solve it sir ,Waste/Garbage,1
Sir cow will stay here and some grasses are there so cow Will eat and plastic also there please solve it sir ,Waste/Garbage,1
"Reduce plastic bags
",Plastic,1
Reduceplasticbottles,Plastic,1
Reduceplasticremote,Plastic,1
Reduceplasticjug,Plastic,1
Reduceplasticcover,Plastic,1
Black water is full happend krs dam,Waste/Garbage,1
Waste paper/bottle is fallen there.,Waste/Garbage,1
Waste paper/bottle is fallen there.,Waste/Garbage,1
Water is stagnant over there leading too iill health,Water,1
Wire is down which may make us trip.,Streetlights,1
Water is stagnant causing ill health.,Water,1
Waste paper/bottle is fallen there.,Waste/Garbage,1
Water is stagnant causing ill health.,Water,1
Bike is parked on path disturbing pedestrians.Bike is parked on path disturbing pedestrians.,Traffic/Parking,1
Waste paper/bottle is fallen there.,Waste/Garbage,1
Waste has also made the walls dirty and cause bad smell.,Waste/Garbage,1
As you can see in the above pic these are dustbins lying opposite. As a result many people find it difficult in putting the garbage in ....,Waste/Garbage,1
This drainage is very dangerous,Waste/Garbage,1
Please clean this garbage,Waste/Garbage,1
Clean this aal garbage mosquitoes are coming,Waste/Garbage,1
Reduceplastic,Plastic,1
Reduceplastic,Plastic,1
"Reduceplastic
",Plastic,1
Reduceplastic,Plastic,1
Reduceplastic,Plastic,1
Reduceplastic,Plastic,1
"It's not regularly cleaned it's left open and uncleaned for a long time.







",Waste/Garbage,1
Hi,Plastic,1
Dump of garbage beside my home,Waste/Garbage,1
This road is not proper and is filled with so many potholes which easily get filled with water BBMP has done nothing ,Potholes,1
"The drainage repair was carried out yesterd
ay. It left a large hole impacting traffic in St. Mary's road Mandaveli. The drainage problem is also not solved yet",Potholes,1
Reduce garbage,Waste/Garbage,1
"Reduceplastic
",Plastic,1
Reduceplastic,Plastic,1
Reduceplastic,Plastic,1
"Reduceplastic
",Plastic,1
Reduceplastic,Plastic,1
Reduceplastic,Plastic,1
Reduceplastic,Plastic,1
"Reduceplastic
",Plastic,1
Mosquitoes breeding can cause dengue and other viral infections. Spreads foul smell too. ,Waste/Garbage,1
People use to park their car bikes in foot path but people in that area use to walk on road,Traffic/Parking,1
"Plasticc-cccccc
",Plastic,1
"Unsegregated garbage on sidewalk
",Waste/Garbage,1
Garbage dumped in front of the gate,Waste/Garbage,1
We are groqing plants n our terrace so we are getting a plentiful   air,Air,1
Garbage found dumped along this whole stretch of vacant land,Waste/Garbage,1
Plastic waste and wrappers dumped on the back road,Waste/Garbage,1
Trash not cleared from roadside,Waste/Garbage,1
Filled with waste,Waste/Garbage,1
Too foul smell,Waste/Garbage,1
Clear this as it smells,Waste/Garbage,1
"Big dump of single use plastic, construction materials and other items",Waste/Garbage,1
"Where a lot of people ????walk
",Waste/Garbage,1
"In the name of cleanliness , garbage bins have been cleared. There is only I garbage bin for the whole street which may be about 28  feet",Waste/Garbage,1
"Traffic one example for pollution for air sound health , people find difficult to be in traffic especially bikes",Air,1
"Garbage ,causing air pollution and discomfort to sellers near by ",Waste/Garbage,1
Reduceplastic,Plastic,1
Reduceplastic dustbin,Plastic,1
"Reduceplastic
",Plastic,1
They are made out afraid. ????????,Traffic/Parking,1
Causing more smoke,Air,1
Smells bad with insect trap on road disturbs people who walk on road even for animals like dogs cows and a lot more issues,Waste/Garbage,1
Disturbs vehicles smells bad even make people to be in that area adding to this even I feel bad to walk on road because smells bad ,Sewage,1
Garbage dumping on road,Waste/Garbage,1
Why are they wasting water!!!!¡!?,Water,1
"Don't use plastic! 
Use veggie peels as plant manure! 
Save our planet earth!",Waste/Garbage,1
There is a open canal opposite to my aunt's house which has full of garbage. This leads to breeding of mosquitoes and causes lot of health issues,Waste/Garbage,1
It's also very stinky and smells of sewage.,Waste/Garbage,1
"It's been a mess for ages and it's right next to a hospital
",Waste/Garbage,1
Put together shabbily and could be a serious problem in the dark.,Potholes,1
"Right off of 100ft road, tripping hazard.",Waste/Garbage,1
"In front of my home, one home tank will overflowing of water in tank. They will not off the switch for a while and we have to go and tell to switch off the electric motor ",Water,1
Ph: 8654101316. Too much talk .caiser of crown,Air,1
Garbage on roadside dustbin not cleared. Plastic covers in the garbage thrown may harm animals. Mosquitoes breed can lead to malaria and dengue.,Waste/Garbage,1
While there is a red signal we should off the vehicle but some people are there they will not off the vehicle while there is no need.Because offing the vehicle we can  reduce air pollution and fuel . ,Air,1
Pedestrians are vulnerable to accidents. The place is filled with stones and is not properly covered. ,Potholes,1
This dumping has become perennial . And the local municipal has not taken any actions to clear those.,Waste/Garbage,1
Prevent air pollution,Air,1
Prevent land pollution,Waste/Garbage,1
Please do stop land pollution in order to have a healthy environment ,Waste/Garbage,1
Land pollution is dangerous,Waste/Garbage,1
And pollution is injurious to health please prevent it,Waste/Garbage,1
